,Popularity,Region,TERM,Full Form | Definition | Meaning,MainCategory,SubCategory
0,100,Worldwide,A,Ampere,Academic & Science,Units
1,70,Worldwide,A,Blood Type A,Medical,Anatomy & Physiology
2,70,Worldwide,A,Address,Computing,Internet
3,50,Worldwide,A,Mass Number,Academic & Science,Chemistry
4,50,Worldwide,A,Adenine,Medical,Biochemistry
5,50,Worldwide,A,Angstrom,Academic & Science,Units
6,50,Worldwide,A,Vitamin A,Medical,Biochemistry
7,40,India,A,Adult,News & Entertainment,Movies & Film
8,40,Worldwide,A,Type A (Battery Size),Academic & Science,Electronics
9,40,United,A,Agilent Technologies,Business,NYSE Symbols
10,40,Worldwide,A,Helmholtz Energy,Academic & Science,Physics
11,10,Worldwide,A,"symbol for Argon, until 1957",Academic & Science,Chemistry
12,70,Worldwide,A/D,Analog-to-Digital,Academic & Science,Electronics
13,50,Worldwide,A2A,Application-to-Application,Computing,Programming & Development
14,40,Worldwide,A2A,Ask to Answer,Computing,Internet
15,40,Worldwide,A2A,Account to Account,Business,Banking
16,30,United,A2A,Access to Archives,Computing,Websites
17,20,United,A2A,Athens to Atlanta,Sports & Games,Outdoor & Adventure
18,50,Worldwide,A2DP,Advanced Audio Distribution Profile,Technology,Communication
19,70,Worldwide,A9,"a standard paper size, defined by ISO 216, with dimensions: 37 x 52 mm",Technology,Imaging & Printing
20,50,Worldwide,A9,numeronym to represent Algorithms (A+ 9 other letters),Business,Companies & Corporations
21,80,Worldwide,AAA,"Authentication, Authorization and Accounting",Computing,Protocols
22,70,United,AAA,American Automobile Association,Associations & Organizations,Regional Organizations
23,70,Worldwide,AAA,Battery type AAA (battery size),Academic & Science,Electronics
24,50,Worldwide,AAA,Abdominal Aortic Aneurysm,Medical,Diseases & Conditions
25,40,Worldwide,AAA,Anti-Aircraft Artillery,Governmental,Weapons & Forces
26,40,Worldwide,AAA,Accumulated Adjustments Account,Business,Accounting
27,30,United,AAA,American Anthropological Association,Associations & Organizations,Professional Associations
28,30,Australia,AAA,Australian Automobile Association,Associations & Organizations,Sports & Recreation Organizations
29,30,United,AAA,Amateur Athletic Association,Associations & Organizations,Sports & Recreation Organizations
30,30,Canada,AAA,Alberta Association of Architects,Associations & Organizations,Professional Associations
31,20,Worldwide,AAA,Association of Autonomous Astronauts,Associations & Organizations,Technological Organizations
32,10,Australia,AAASA,Australian Army Alpine Snowsports Association,Associations & Organizations,Sports & Recreation Organizations
33,30,Worldwide,AABB,American Association of Blood Banks,Associations & Organizations,International Orgaizations
34,20,Worldwide,AABB,Axis Aligned Bound Box,Computing,General Computing
35,80,Worldwide,AAC,Advanced Audio Coding,Computing,Compression & Encoding
36,50,Worldwide,AAC,Autoclaved Aerated Concrete,Academic & Science,Architecture & Constructions
37,30,United,AAC,American Alpine Club,Associations & Organizations,Sports & Recreation Organizations
38,20,Worldwide,AAC,All Aluminium Conductors,Academic & Science,Electrical
39,20,United,AAC,Alameda Arts Council,Governmental,Firms & Organizations
40,20,Canada,AAC,Alliance Atlantis Communications,Business,Companies & Corporations
41,10,United,AAC,Academy of American Poets,Associations & Organizations,Arts Associations
42,40,United,AACAP,American Academy of Child and Adolescent Psychiatry,Associations & Organizations,Medical Organizations
43,30,Australia,AACAP,Army Aboriginal Community Assistance Program,Governmental,Policies & Programs
44,30,Worldwide,AACBE,American Accreditation Council for Business Education,Associations & Organizations,Educational Organizations
45,30,United,AACTE,American Association of Colleges for Teacher Education,Associations & Organizations,Educational Organizations
46,60,Worldwide,AAD,American Academy of Dermatology,Associations & Organizations,Medical Organizations
47,60,Worldwide,AAD,Acute Aortic Dissection,Medical,Diseases & Conditions
48,50,Worldwide,AAD,Access to Archival Databases,Computing,Websites
49,40,India,AAD,Army Air Defence,Governmental,Military
50,40,Worldwide,AAD,Automatic Activation Device,Technology,Tech Terms
51,40,Worldwide,AAD,Antibiotic-Associated Diarrhea,Medical,Diseases & Conditions
52,40,Worldwide,AAD,Average Absolute Deviation,Academic & Science,Mathematics
53,40,Australia,AAD,Australian Antarctic Division,Governmental,Departments & Agencies
54,40,South,AAD,African Aerospace and Defence,Associations & Organizations,Conferences & Events
55,20,Somalia,AAD,Adado Airport,Transport & Travel,Airport Codes
56,20,Worldwide,AAD,ASCII Adjust before Division,Computing,General Computing
57,10,United,AAD,Ad Altare Dei,Society & Culture,Religion & Spirituality
58,10,South,AAD,Advanced Automotive Design,Business,Companies & Corporations
59,80,India,AAI,Airports Authority of India,Governmental,Departments & Agencies
60,30,United,AAI,Arab American Institute,Associations & Organizations,Regional Organizations
61,30,United,AAI,Atheist Alliance International,Associations & Organizations,International Orgaizations
62,30,Worldwide,AAI,American Association of Immunologistsis,Associations & Organizations,Medical Organizations
63,20,Ireland,AAI,Architectural Association of Ireland,Associations & Organizations,Professional Associations
64,20,United,AAI,Adam Aircraft Industries,Business,Companies & Corporations
65,20,Worldwide,AAI,Acute Alcohol Intoxication,Medical,Diseases & Conditions
66,10,United,AAI,AirTran Holdings,Business,NYSE Symbols
67,40,United,AAJA,Asian American Journalists Association,Associations & Organizations,Non-Profit Organizations
68,10,India,AAJA,Association of Amal Jyothi Alumni,Associations & Organizations,Regional Organizations
69,90,United,AAP,American Academy of Pediatrics,Associations & Organizations,Professional Associations
70,80,India,AAP,आम आदमी पार्टी,Governmental,Politics
71,40,United,AAP,Advance Auto Parts,Business,NYSE Symbols
72,40,Australia,AAP,Advance Australia Party,Governmental,Politics
73,30,United,AAP,Association of American Publishers,Associations & Organizations,Trade Associations
74,20,Worldwide,AAP,Apollo Applications Program,Academic & Science,Astronomy & Space Science
75,10,United,AAP,Andrau Airpark,Transport & Travel,Airport Codes
76,80,United,AAPL,Apple Inc.,Business,Stock Market
77,40,United,AAPL,American Association of Professional Landmen,Associations & Organizations,Regional Organizations
